"","FECHA","Nro_Vehiculos","NRO_TOTAL_VEHICULOS"
"593",2013-08-15,1293,1293
"594",2013-08-16,1346,1346
"595",2013-08-17,399,399
"596",2013-08-18,4,4
"597",2013-08-19,54,54
"598",2013-08-20,1211,1211
"599",2013-08-21,1388,1388
"600",2013-08-22,1421,1421
"601",2013-08-23,1480,1480
"602",2013-08-24,438,438
"603",2013-08-25,4,4
"604",2013-08-26,1054,1054
"605",2013-08-27,1331,1331
"606",2013-08-28,1525,1525
"607",2013-08-29,1562,1562
"608",2013-08-30,1626,1626
"609",2013-08-31,482,482
"610",2013-09-01,3,3
"611",2013-09-02,763,763
"612",2013-09-03,963,963
"613",2013-09-04,1104,1104
"614",2013-09-05,1130,1130
"615",2013-09-06,1177,1177
"616",2013-09-07,348,348
"617",2013-09-08,3,3
"618",2013-09-09,838,838
"619",2013-09-10,1059,1059
"620",2013-09-11,1213,1213
"621",2013-09-12,1242,1242
"622",2013-09-13,1294,1294
"623",2013-09-14,383,383
"624",2013-09-15,4,4
"625",2013-09-16,922,922
"626",2013-09-17,1164,1164
"627",2013-09-18,1334,1334
"628",2013-09-19,1366,1366
"629",2013-09-20,1422,1422
"630",2013-09-21,421,421
"631",2013-09-22,4,4
"632",2013-09-23,1013,1013
"633",2013-09-24,1279,1279
"634",2013-09-25,1466,1466
"635",2013-09-26,1501,1501
"636",2013-09-27,1563,1563
"637",2013-09-28,463,463
"638",2013-09-29,4,4
"639",2013-09-30,1113,1113
"640",2013-10-01,981,981
"641",2013-10-02,1124,1124
"642",2013-10-03,1151,1151
"643",2013-10-04,1199,1199
"644",2013-10-05,355,355
"645",2013-10-06,3,3
"646",2013-10-07,854,854
"647",2013-10-08,1078,1078
"648",2013-10-09,1236,1236
"649",2013-10-10,1265,1265
"650",2013-10-11,1318,1318
"651",2013-10-12,390,390
"652",2013-10-13,4,4
"653",2013-10-14,53,53
"654",2013-10-15,1185,1185
"655",2013-10-16,1358,1358
"656",2013-10-17,1391,1391
"657",2013-10-18,1448,1448
"658",2013-10-19,429,429
"659",2013-10-20,4,4
"660",2013-10-21,1032,1032
"661",2013-10-22,1303,1303
"662",2013-10-23,1493,1493
"663",2013-10-24,1529,1529
"664",2013-10-25,1592,1592
"665",2013-10-26,471,471
"666",2013-10-27,4,4
"667",2013-10-28,1134,1134
"668",2013-10-29,1432,1432
"669",2013-10-30,1641,1641
