"","FECHA","UNIDADES","YEAR","DIA","MES","DIA_SEMANA","FESTIVIDAD"
"251",2012-09-07,1281,2012,7,9,"viernes","dia_habil"
"252",2012-09-08,489,2012,8,9,"sabado","dia_habil"
"253",2012-09-09,30,2012,9,9,"domingo","dia_habil"
"254",2012-09-10,1095,2012,10,9,"lunes","dia_habil"
"255",2012-09-11,1204,2012,11,9,"martes","dia_habil"
"256",2012-09-12,1347,2012,12,9,"miercoles","dia_habil"
"257",2012-09-13,1439,2012,13,9,"jueves","dia_habil"
"258",2012-09-14,1293,2012,14,9,"viernes","dia_habil"
"259",2012-09-15,405,2012,15,9,"sabado","dia_habil"
"260",2012-09-16,0,2012,16,9,"domingo","dia_habil"
"261",2012-09-17,930,2012,17,9,"lunes","dia_habil"
"262",2012-09-18,933,2012,18,9,"martes","dia_habil"
"263",2012-09-19,1320,2012,19,9,"miercoles","dia_habil"
"264",2012-09-20,1353,2012,20,9,"jueves","dia_habil"
"265",2012-09-21,1231,2012,21,9,"viernes","dia_habil"
"266",2012-09-22,313,2012,22,9,"sabado","dia_habil"
"267",2012-09-23,41,2012,23,9,"domingo","dia_habil"
"268",2012-09-24,840,2012,24,9,"lunes","dia_habil"
"269",2012-09-25,1033,2012,25,9,"martes","dia_habil"
"270",2012-09-26,1287,2012,26,9,"miercoles","dia_habil"
"271",2012-09-27,1335,2012,27,9,"jueves","dia_habil"
"272",2012-09-28,1415,2012,28,9,"viernes","dia_habil"
"273",2012-09-29,422,2012,29,9,"sabado","dia_habil"
"274",2012-09-30,0,2012,30,9,"domingo","dia_habil"
"275",2012-10-01,813,2012,1,10,"lunes","dia_habil"
"276",2012-10-02,1110,2012,2,10,"martes","dia_habil"
"277",2012-10-03,1280,2012,3,10,"miercoles","dia_habil"
"278",2012-10-04,1352,2012,4,10,"jueves","dia_habil"
"279",2012-10-05,1360,2012,5,10,"viernes","dia_habil"
"280",2012-10-06,400,2012,6,10,"sabado","dia_habil"
"281",2012-10-07,10,2012,7,10,"domingo","dia_habil"
"282",2012-10-08,1195,2012,8,10,"lunes","dia_habil"
"283",2012-10-09,1209,2012,9,10,"martes","dia_habil"
"284",2012-10-10,1299,2012,10,10,"miercoles","dia_habil"
"285",2012-10-11,1324,2012,11,10,"jueves","dia_habil"
"286",2012-10-12,1275,2012,12,10,"viernes","dia_habil"
"287",2012-10-13,326,2012,13,10,"sabado","dia_habil"
"288",2012-10-14,18,2012,14,10,"domingo","dia_habil"
"289",2012-10-15,0,2012,15,10,"lunes","festivo"
"290",2012-10-16,752,2012,16,10,"martes","dia_habil"
"291",2012-10-17,1022,2012,17,10,"miercoles","dia_habil"
"292",2012-10-18,853,2012,18,10,"jueves","dia_habil"
"293",2012-10-19,1319,2012,19,10,"viernes","dia_habil"
"294",2012-10-20,391,2012,20,10,"sabado","dia_habil"
"295",2012-10-21,7,2012,21,10,"domingo","dia_habil"
"296",2012-10-22,866,2012,22,10,"lunes","dia_habil"
"297",2012-10-23,1057,2012,23,10,"martes","dia_habil"
"298",2012-10-24,1159,2012,24,10,"miercoles","dia_habil"
"299",2012-10-25,1180,2012,25,10,"jueves","dia_habil"
"300",2012-10-26,1203,2012,26,10,"viernes","dia_habil"
"301",2012-10-27,327,2012,27,10,"sabado","dia_habil"
"302",2012-10-28,1,2012,28,10,"domingo","dia_habil"
"303",2012-10-29,828,2012,29,10,"lunes","dia_habil"
"304",2012-10-30,1281,2012,30,10,"martes","dia_habil"
"305",2012-10-31,1195,2012,31,10,"miercoles","brujas"
"306",2012-11-01,1088,2012,1,11,"jueves","dia_habil"
"307",2012-11-02,1320,2012,2,11,"viernes","dia_habil"
"308",2012-11-03,289,2012,3,11,"sabado","dia_habil"
"309",2012-11-04,0,2012,4,11,"domingo","dia_habil"
"310",2012-11-05,0,2012,5,11,"lunes","festivo"
"311",2012-11-06,875,2012,6,11,"martes","dia_habil"
"312",2012-11-07,1095,2012,7,11,"miercoles","dia_habil"
"313",2012-11-08,1318,2012,8,11,"jueves","dia_habil"
"314",2012-11-09,1361,2012,9,11,"viernes","dia_habil"
"315",2012-11-10,336,2012,10,11,"sabado","dia_habil"
"316",2012-11-11,0,2012,11,11,"domingo","dia_habil"
"317",2012-11-12,0,2012,12,11,"lunes","festivo"
"318",2012-11-13,855,2012,13,11,"martes","dia_habil"
"319",2012-11-14,1142,2012,14,11,"miercoles","dia_habil"
"320",2012-11-15,1205,2012,15,11,"jueves","dia_habil"
"321",2012-11-16,1186,2012,16,11,"viernes","dia_habil"
"322",2012-11-17,311,2012,17,11,"sabado","dia_habil"
"323",2012-11-18,1,2012,18,11,"domingo","dia_habil"
