FECHA;YEAR;DIA;MES;DIA_SEMANA;FESTIVIDAD
29/03/2013;2013;29;3;viernes;sem_santa
30/03/2013;2013;30;3;sabado;sem_santa
31/03/2013;2013;31;3;domingo;dia_habil
1/04/2013;2013;1;4;lunes;dia_habil
2/04/2013;2013;2;4;martes;dia_habil
3/04/2013;2013;3;4;miercoles;dia_habil
4/04/2013;2013;4;4;jueves;dia_habil
5/04/2013;2013;5;4;viernes;dia_habil
6/04/2013;2013;6;4;sabado;dia_habil
7/04/2013;2013;7;4;domingo;dia_habil
8/04/2013;2013;8;4;lunes;dia_habil
9/04/2013;2013;9;4;martes;dia_habil
10/04/2013;2013;10;4;miercoles;dia_habil
11/04/2013;2013;11;4;jueves;dia_habil
12/04/2013;2013;12;4;viernes;dia_habil
13/04/2013;2013;13;4;sabado;dia_habil
14/04/2013;2013;14;4;domingo;dia_habil
15/04/2013;2013;15;4;lunes;dia_habil
16/04/2013;2013;16;4;martes;dia_habil
17/04/2013;2013;17;4;miercoles;dia_habil
18/04/2013;2013;18;4;jueves;dia_habil
19/04/2013;2013;19;4;viernes;dia_habil
20/04/2013;2013;20;4;sabado;dia_habil
21/04/2013;2013;21;4;domingo;dia_habil
22/04/2013;2013;22;4;lunes;dia_habil
23/04/2013;2013;23;4;martes;dia_habil
24/04/2013;2013;24;4;miercoles;dia_habil
25/04/2013;2013;25;4;jueves;dia_habil
26/04/2013;2013;26;4;viernes;dia_habil
27/04/2013;2013;27;4;sabado;dia_habil
28/04/2013;2013;28;4;domingo;dia_habil
29/04/2013;2013;29;4;lunes;dia_habil
30/04/2013;2013;30;4;martes;dia_habil
1/05/2013;2013;1;5;miercoles;festivo
2/05/2013;2013;2;5;jueves;dia_habil
3/05/2013;2013;3;5;viernes;dia_habil
4/05/2013;2013;4;5;sabado;dia_habil
5/05/2013;2013;5;5;domingo;dia_habil
6/05/2013;2013;6;5;lunes;dia_habil
7/05/2013;2013;7;5;martes;dia_habil
8/05/2013;2013;8;5;miercoles;dia_habil
9/05/2013;2013;9;5;jueves;dia_habil
10/05/2013;2013;10;5;viernes;dia_habil
11/05/2013;2013;11;5;sabado;dia_habil
12/05/2013;2013;12;5;domingo;madres
13/05/2013;2013;13;5;lunes;festivo
14/05/2013;2013;14;5;martes;dia_habil
15/05/2013;2013;15;5;miercoles;dia_habil
16/05/2013;2013;16;5;jueves;dia_habil
17/05/2013;2013;17;5;viernes;dia_habil
18/05/2013;2013;18;5;sabado;dia_habil
19/05/2013;2013;19;5;domingo;dia_habil
20/05/2013;2013;20;5;lunes;dia_habil
21/05/2013;2013;21;5;martes;dia_habil
22/05/2013;2013;22;5;miercoles;dia_habil
23/05/2013;2013;23;5;jueves;dia_habil
24/05/2013;2013;24;5;viernes;dia_habil
25/05/2013;2013;25;5;sabado;dia_habil
26/05/2013;2013;26;5;domingo;dia_habil
27/05/2013;2013;27;5;lunes;dia_habil
28/05/2013;2013;28;5;martes;dia_habil
29/05/2013;2013;29;5;miercoles;dia_habil
30/05/2013;2013;30;5;jueves;dia_habil
31/05/2013;2013;31;5;viernes;dia_habil
1/06/2013;2013;1;6;sabado;dia_habil
2/06/2013;2013;2;6;domingo;dia_habil
3/06/2013;2013;3;6;lunes;festivo
4/06/2013;2013;4;6;martes;dia_habil
5/06/2013;2013;5;6;miercoles;dia_habil
6/06/2013;2013;6;6;jueves;dia_habil
7/06/2013;2013;7;6;viernes;dia_habil
8/06/2013;2013;8;6;sabado;dia_habil
9/06/2013;2013;9;6;domingo;dia_habil
10/06/2013;2013;10;6;lunes;festivo
11/06/2013;2013;11;6;martes;dia_habil
12/06/2013;2013;12;6;miercoles;dia_habil
13/06/2013;2013;13;6;jueves;dia_habil
14/06/2013;2013;14;6;viernes;dia_habil
15/06/2013;2013;15;6;sabado;dia_habil
16/06/2013;2013;16;6;domingo;dia_habil
17/06/2013;2013;17;6;lunes;dia_habil
18/06/2013;2013;18;6;martes;dia_habil
19/06/2013;2013;19;6;miercoles;dia_habil
20/06/2013;2013;20;6;jueves;dia_habil
21/06/2013;2013;21;6;viernes;dia_habil
22/06/2013;2013;22;6;sabado;dia_habil
23/06/2013;2013;23;6;domingo;dia_habil
24/06/2013;2013;24;6;lunes;dia_habil
25/06/2013;2013;25;6;martes;dia_habil
26/06/2013;2013;26;6;miercoles;dia_habil
27/06/2013;2013;27;6;jueves;dia_habil
28/06/2013;2013;28;6;viernes;dia_habil
29/06/2013;2013;29;6;sabado;dia_habil
30/06/2013;2013;30;6;domingo;dia_habil
1/07/2013;2013;1;7;lunes;festivo
2/07/2013;2013;2;7;martes;dia_habil
3/07/2013;2013;3;7;miercoles;dia_habil
4/07/2013;2013;4;7;jueves;dia_habil
5/07/2013;2013;5;7;viernes;dia_habil
6/07/2013;2013;6;7;sabado;dia_habil
7/07/2013;2013;7;7;domingo;dia_habil
8/07/2013;2013;8;7;lunes;dia_habil
9/07/2013;2013;9;7;martes;dia_habil
10/07/2013;2013;10;7;miercoles;dia_habil
11/07/2013;2013;11;7;jueves;dia_habil
12/07/2013;2013;12;7;viernes;dia_habil
13/07/2013;2013;13;7;sabado;dia_habil
14/07/2013;2013;14;7;domingo;dia_habil
15/07/2013;2013;15;7;lunes;dia_habil
16/07/2013;2013;16;7;martes;dia_habil
17/07/2013;2013;17;7;miercoles;dia_habil
18/07/2013;2013;18;7;jueves;dia_habil
19/07/2013;2013;19;7;viernes;dia_habil
20/07/2013;2013;20;7;sabado;festivo
21/07/2013;2013;21;7;domingo;dia_habil
22/07/2013;2013;22;7;lunes;dia_habil
23/07/2013;2013;23;7;martes;dia_habil
24/07/2013;2013;24;7;miercoles;dia_habil
25/07/2013;2013;25;7;jueves;dia_habil
26/07/2013;2013;26;7;viernes;dia_habil
27/07/2013;2013;27;7;sabado;dia_habil
28/07/2013;2013;28;7;domingo;dia_habil
29/07/2013;2013;29;7;lunes;dia_habil
30/07/2013;2013;30;7;martes;dia_habil
31/07/2013;2013;31;7;miercoles;dia_habil
1/08/2013;2013;1;8;jueves;dia_habil
2/08/2013;2013;2;8;viernes;dia_habil
